81529883;28082023;300000;0;0;280823164349525840
39716654;28082023;444700;0;0;280823151810945644
86913342;28082023;519750;0;0;280823155258935772
33245498;28082023;527834;0;0;280823141218965708
90939895;28082023;102530;0;0;280823150520995868
33249341;28082023;1485000;0;0;280823150704085004
33249341;28082023;1386000;0;0;280823151019125203
33896147;28082023;3860482;0;0;280823122408575727
34452186;28082023;990000;0;0;280823095152715625
89407898;28082023;393307;0;0;280823102901765831
85086140;28082023;1500000;0;0;280823153241735526
85086140;28082023;900000;0;0;280823153419615641
39902607;28082023;769590;0;0;280823131558095051
32749002;28082023;159341;0;0;280823105416155492
33309852;28082023;381828;0;0;280823105622145658
81583685;28082023;500000;0;0;280823091118135449
81528059;28082023;1231060;0;0;280823165636995618
32253883;28082023;477166;0;0;280823111836855209
88587136;28082023;1485000;0;0;280823093751445878
88587136;28082023;1485000;0;0;280823093946675970
88587136;28082023;693000;0;0;280823094225955126
